sentence,eng_sentence
นวดอยู่ร้าน Nature กับเพื่อน พี่บอกว่า “รีบค่ะลูก ไฟไหม้ร้านข้าง” ทำตัวกันไม่ถูกเลย ยังนวดไม่ถึง 10 นาที เกิดแต่กับกุจริงๆ,"นวดอยู่ร้าน Nature dy[grnjvo ruj[vd;jk “iu[8jt]^d waws,hihko-hk'” me9y;dyow,j5^dg]p py'o;fw,j57' 10 okmu gdbfc9jdy[d60ib'q"
Ari ซอย 6 เปลวไฟควันดำเห็นจาก BTS -MBK หลีกเลี่ยงการเข้าพื้นที่ทันที,Ari Kvp 6 gx];wa8;yofegsFo0kd BTS -MBK s]udg]ujp'dkig-hkrnhomujmyomu
งั้นรอเล่น Minecraft ไหม,"งั้นรอเล่น Minecraft ws,"
ช่วยส่งไฟล์งานมาให้หน่อยทาง email ด้วยนะครับ,ช่วยส่งไฟล์งานมาให้หน่อยทาง email fh;pot8iy[
นี่ไม่ใช่บ้านในโครงการ!,นี่ไม่ใช่บ้านในโครงการ!
แต่นี่คือบ้าน Modern Luxury ที่สร้างเอง,แต่นี่คือบ้าน Modern Luxury mujlihk'gv'
ออกแบบมาเพื่อคนที่อยากใช้ชีวิตระดับ Premium !,ออกแบบมาเพื่อคนที่อยากใช้ชีวิตระดับ Premium !
Built-in ทั้งหลัง – หินอ่อนแท้ + สแตนเลส Rosegold,Built-in myh's]y' – sbovjvocmh ! lc9og]l Rosegold
สวิตช์สัมผัส Gratia ทั้งหลัง,สวิตช์สัมผัส Gratia myh's]y'
เป็นเว็บแบบ Text based เลยดูใช้ยากครับ,เป็นเว็บแบบ Text based g]pf^.=hpkd8iy[
ผมอยู่กลุ่มเกม community บน face นี่คุยอะไรไม่รู้เรื่อง ไม่สนุก มาสิงอยู่กับต่างชาติ นี่มีเรื่องมาคุย ขำ เรื่อย,"ผมอยู่กลุ่มเกม community [o face ouj86pvtwiw,ji^hginjv' w,jlo6d ,klb'vp^jdy[9jk'=k9b ouj,uginjv',k86p -e ginjvp"
อย่าลืม backup ข้อมูลก่อน format เครื่อง,"อย่าลืม backup -hv,^]djvo format g8injv'"
เดี๋ยวนี้ใครๆ ก็ใช้ e-wallet กันหมด,"เดี๋ยวนี้ใครๆ ก็ใช้ e-wallet dyos,f"
เจอ bug ในโค้ด ต้องdebugด่วน,เจอ bug .oโ8hf 9hv'debugfj;o
ช้วงนี้เรียนonline,ช้วงนี้เรียนonline
ลอง updateโปรแกรมก่อน run ดูนะ,"ลอง updateโxicdi,djvo run f^ot"
เดียวอัพเดท logo ให้หน่อยได้ไหมถ้าว่าง,"เดียวอัพเดท logo .shsojvpwfhws,5hk;jk'"
เดี๋ยวเค้าจะไป check-in ให้ก่อน,เดี๋ยวเค้าจะไป check-in .shdjvo
ขอ passwordหน่อย,ขอ passwordsojvp
ขอดู slide ที่อธิบายเมื่อกี้หน่อย,"ขอดู slide mujvTb[kpg,njvduhsojvp"
สั่งผ่านappจะได้ลด 20%,สั่งผ่านapp0twfh]f 20%
อย่าลืม backup ไฟล์นะ,อย่าลืม backup wa]Vot
อย่าลืม downloadไฟล์ไปอ่านก่อนสอบ,อย่าลืม downloadwa]Vwxvjkodjvolv[
เมื่อคืนดู Netflix เพลินจนลืมนอน,"เมื่อคืนดู Netflix gr]bo0o]n,ovo"
ตอนนี้แบตเหลือแค่ 5%,ตอนนี้แบตเหลือแค่ 5%
ถ้าทำเสร็จแล้วเดี๋ยว upload เข้า Google Drive,ถ้าทำเสร็จแล้วเดี๋ยว upload g-hk Google Drive
Back in Stock พร้อมโปรฯลดพิเศษ,"Back in Stock rihv,โxiO]frbgJH"
ตอนนี้อยู่ใน group chat แล้ว,ตอนนี้อยู่ใน group chat c]h;
วันนี้มี quiz นะ เตรียมตัวยัง,"วันนี้มี quiz ot g9iup,9y;py'"
ขอช้องyoutubeหน่อย,ขอช้องyoutubesojvp
อย่าใช้ command,อย่าใช้ command
ขอ id lineหน่อย,ขอ id linesojvp
ช่วยตรวจสอบได้ที่ Line OA,ช่วยตรวจสอบได้ที่ Line OA
มีcommentนะ,มีcommentot
Upload เรียบร้อยครับ,Upload giup[ihvp8iy[
เตรียมตัว present ไว้ก่อนเลยนะ,เตรียมตัว present w;hdjvog]pot
ยัง confirm เวลาชัดเจนไม่ได้,"ยัง confirm g;]k=yfg0ow,jwfh"
ไม่ได้เข้า office นะพรุ่งนี้,ไม่ได้เข้า office otri6j'ouh
ลืม save งานไว้ก่อนปิดเครื่อง,ลืม save 'kow;hdjvoxbfg8injv'
ใช้ Googleค้นดู,ใช้ Google8hof^
สั่งของผ่าน Shopee ง่ายกว่า,สั่งของผ่าน Shopee 'jkpd;jk
เพิ่งเจอ bug ในโค้ดเมื่อกี้,"เพิ่งเจอ bug .oโ8hfg,njvduh"
ลอง check mailbox ดู มีอีเมลเข้าใหม่,"ลอง check mailbox f^ ,uvug,]g-hk.s,j"
ลงทะเบียนผ่าน online system แล้ว,ลงทะเบียนผ่าน online system c]h;
เดี๋ยวส่ง link มาให้ รอแป๊บ,"เดี๋ยวส่ง link ,k.sh ivcxU["
วันนี้เล่นเกมมั้ยเห็นonline อยู่นะ,วันนี้เล่นเกมมั้ยเห็นonline vp^jot
กำลัง upload ไฟล์อยู่ รอแป๊บ,กำลัง upload wa]Vvp^j ivcxU[
share screenตอนนี้เลยมั้ย,"share screen9voouhg]p,yhp"
นัดเจอหน้า BTS สะดวกสุด,นัดเจอหน้า BTS ltf;dl6f
ใช้ Gmail หรือ Outlook อะ,ใช้ Gmail sinv Outlook vt
